Combination_ID,solver,penalty,C,f1,accuracy,precision,recall
1,liblinear,l1,0.001,0.6866289594716092,0.6980000154326736,0.712674523649561,0.6624948704011948
2,liblinear,l2,0.001,0.6925261846460046,0.7045178843783676,0.7209705639893489,0.6662851450247477
3,liblinear,l1,0.01,0.6933232255750547,0.706339327300704,0.7246334691603775,0.6646404631529211
4,liblinear,l2,0.01,0.6925919866913963,0.7049464605904611,0.7219685785124436,0.6655343751141279
5,liblinear,l1,0.1,0.7057984331822457,0.7189464239278166,0.7395278254288971,0.6750811072445128
6,liblinear,l2,0.1,0.6921777322879317,0.7047857453479945,0.7221540158575038,0.6646047399659977
7,liblinear,l1,1.0,0.7062904523017798,0.7191249873844208,0.7392102176373919,0.6762610309914256
8,liblinear,l2,1.0,0.6920518872224468,0.7046428878861631,0.7219649456868663,0.6645331746938478
9,liblinear,l1,10.0,0.7063731906231728,0.7191607058156401,0.7391841098104814,0.6764398156849246
10,liblinear,l2,10.0,0.6929668099303661,0.7056250132053538,0.7231989202807821,0.6651768057271302
11,liblinear,l1,100.0,0.7061026074822382,0.7189285623205827,0.7389697280831798,0.6761180040037124
12,liblinear,l2,100.0,0.6924552589065693,0.7050714774913528,0.7225063521833334,0.6648192401755617
13,liblinear,l1,1000.0,0.7065951129478915,0.7193571327927777,0.7393615172128496,0.6766901196254237
14,liblinear,l2,1000.0,0.6925301327356309,0.7050535948378247,0.7223343970837964,0.6651053018218466
