subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,colsample_bynode,colsample_bylevel,Combination_ID,Score,Dataset
0.5,0.5,10.0,400,5,0.01,1.0,1.0,0.7,0.7,1,0.7351000000000001,
0.7,0.5,0.1,300,3,1.0,0.1,0.5,0.5,0.5,2,0.7254428571428572,
0.7,10.0,1.0,300,9,0.5,0.0,0.5,0.7,0.5,3,0.7244285714285714,
1.0,0.0,1.0,500,5,1.0,1.0,1.0,0.7,1.0,4,0.6913571428571428,
0.5,0.5,0.0,100,13,1.0,0.0,1.0,1.0,0.7,5,0.7000571428571429,
