Combination_ID,verbosity,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,colsample_bynode,colsample_bylevel,f1,accuracy,precision,recall
1,0,0.5,10.0,10.0,200,9,0.7,0.1,1,0.7,0.7,0.9098724489795919,0.9383362420011635,0.9407313676616376,0.8813669544294331
2,0,0.5,0.5,1.0,300,13,0.01,0.5,1,1.0,0.5,0.911550348823328,0.9400814426992437,0.9483262578774526,0.8781072688549644
3,0,1.0,0.1,0.5,300,11,0.1,10.0,1,1.0,0.7,0.9228454026280888,0.9470622454915648,0.9477447750998165,0.8995675429611927
