Combination_ID,solver,penalty,C,f1,accuracy,precision,recall
1,liblinear,l2,10.0,0.7715436708592801,0.8452588714368819,0.8050714421351647,0.7413305369945862
2,liblinear,l2,0.01,0.6953032846872444,0.8016288539848748,0.7579995002959053,0.6441577655302475
3,liblinear,l1,10.0,0.7705180697791535,0.8446771378708551,0.8047499577960445,0.7396803719780846
